评论页码,微博id,评论id,评论内容,评论时间,评论点赞数,评论属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903122096357510,#秋瓷炫乘风2023# 姐姐在节目组交到了好多新朋友吖～愿姐姐们友谊长存、一起乘风而上吧@秋瓷炫,2023-05-19 14:47:45,11,来自广东,秋瓷炫官方后_援_会,2023760740,f,55,70000
1,4903111417922777,4903111913380236,jie jie yin wei yu jian ni ci wa wa hen xing fu,2023-05-19 14:07:18,10,来自辽宁,凝萌爱萌,3991579558,f,822,656
1,4903111417922777,4903149599461909,下次要不一起试试挑战方言?[擠眼][擠眼],2023-05-19 16:37:03,429,来自上海,李彩华rainli李彩桦,1522622622,f,367,3580000
1,4903111417922777,4903113817325715,你是去交朋友的吧 有没有每个说一遍： 我对你一辈子好,2023-05-19 14:14:51,434,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903112392052545,@秋瓷炫 宝贝儿，友谊地久天长，万古长青！,2023-05-19 14:09:12,135,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903112525482353,"qiuqiu ni de chu wu tai he yi gong biao yan yi jing fei chang hao le,wo men hui yi zhi ai ni de.o",2023-05-19 14:09:44,100,来自河北,蒎萘蒲藕,6104708425,m,285,100
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903122096357510,#秋瓷炫乘风2023# 姐姐在节目组交到了好多新朋友吖～愿姐姐们友谊长存、一起乘风而上吧@秋瓷炫,2023-05-19 14:47:45,11,来自广东,秋瓷炫官方后_援_会,2023760740,f,55,70000
1,4903111417922777,4903111913380236,jie jie yin wei yu jian ni ci wa wa hen xing fu,2023-05-19 14:07:18,10,来自辽宁,凝萌爱萌,3991579558,f,822,656
1,4903111417922777,4903113163280046,hao xi huan jiejie xia ci duo fa dian he zhao ai kan,2023-05-19 14:12:16,7,来自湖南,你说演砸了这不可能,5909866350,f,298,2069
1,4903111417922777,4903149599461909,下次要不一起试试挑战方言?[擠眼][擠眼],2023-05-19 16:37:03,429,来自上海,李彩华rainli李彩桦,1522622622,f,367,3580000
1,4903111417922777,4903113817325715,你是去交朋友的吧 有没有每个说一遍： 我对你一辈子好,2023-05-19 14:14:51,434,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903112392052545,@秋瓷炫 宝贝儿，友谊地久天长，万古长青！,2023-05-19 14:09:12,135,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903112525482353,"qiuqiu ni de chu wu tai he yi gong biao yan yi jing fei chang hao le,wo men hui yi zhi ai ni de.o",2023-05-19 14:09:44,100,来自河北,蒎萘蒲藕,6104708425,m,285,100
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903122096357510,#秋瓷炫乘风2023# 姐姐在节目组交到了好多新朋友吖～愿姐姐们友谊长存、一起乘风而上吧@秋瓷炫,2023-05-19 14:47:45,11,来自广东,秋瓷炫官方后_援_会,2023760740,f,55,70000
1,4903111417922777,4903111913380236,jie jie yin wei yu jian ni ci wa wa hen xing fu,2023-05-19 14:07:18,10,来自辽宁,凝萌爱萌,3991579558,f,822,656
1,4903111417922777,4903113163280046,hao xi huan jiejie xia ci duo fa dian he zhao ai kan,2023-05-19 14:12:16,7,来自湖南,你说演砸了这不可能,5909866350,f,298,2069
1,4903111417922777,4903116158272259,姐姐们超美 我捡🥰,2023-05-19 14:24:09,10,来自福建,然后_昱头吃吗,5416090968,f,453,200
1,4903111417922777,4903149599461909,下次要不一起试试挑战方言?[擠眼][擠眼],2023-05-19 16:37:03,429,来自上海,李彩华rainli李彩桦,1522622622,f,367,3580000
1,4903111417922777,4903113817325715,你是去交朋友的吧 有没有每个说一遍： 我对你一辈子好,2023-05-19 14:14:51,434,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903112392052545,@秋瓷炫 宝贝儿，友谊地久天长，万古长青！,2023-05-19 14:09:12,135,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903112525482353,"qiuqiu ni de chu wu tai he yi gong biao yan yi jing fei chang hao le,wo men hui yi zhi ai ni de.o",2023-05-19 14:09:44,100,来自河北,蒎萘蒲藕,6104708425,m,285,100
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903122096357510,#秋瓷炫乘风2023# 姐姐在节目组交到了好多新朋友吖～愿姐姐们友谊长存、一起乘风而上吧@秋瓷炫,2023-05-19 14:47:45,11,来自广东,秋瓷炫官方后_援_会,2023760740,f,55,70000
1,4903111417922777,4903111913380236,jie jie yin wei yu jian ni ci wa wa hen xing fu,2023-05-19 14:07:18,10,来自辽宁,凝萌爱萌,3991579558,f,822,656
1,4903111417922777,4903113163280046,hao xi huan jiejie xia ci duo fa dian he zhao ai kan,2023-05-19 14:12:16,7,来自湖南,你说演砸了这不可能,5909866350,f,298,2069
1,4903111417922777,4903116158272259,姐姐们超美 我捡🥰,2023-05-19 14:24:09,10,来自福建,然后_昱头吃吗,5416090968,f,453,200
1,4903111417922777,4903112907686010,姐姐 我现在最大的希望就是妳能进入决赛只要你进入 我们一定会努力应援的@秋瓷炫,2023-05-19 14:11:14,8,来自中国台湾,Maureen允,7786035019,f,145,10
1,4903111417922777,4903149599461909,下次要不一起试试挑战方言?[擠眼][擠眼],2023-05-19 16:37:03,429,来自上海,李彩华rainli李彩桦,1522622622,f,367,3580000
1,4903111417922777,4903113817325715,你是去交朋友的吧 有没有每个说一遍： 我对你一辈子好,2023-05-19 14:14:51,434,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903112392052545,@秋瓷炫 宝贝儿，友谊地久天长，万古长青！,2023-05-19 14:09:12,135,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903112525482353,"qiuqiu ni de chu wu tai he yi gong biao yan yi jing fei chang hao le,wo men hui yi zhi ai ni de.o",2023-05-19 14:09:44,100,来自河北,蒎萘蒲藕,6104708425,m,285,100
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903122096357510,#秋瓷炫乘风2023# 姐姐在节目组交到了好多新朋友吖～愿姐姐们友谊长存、一起乘风而上吧@秋瓷炫,2023-05-19 14:47:45,11,来自广东,秋瓷炫官方后_援_会,2023760740,f,55,70000
1,4903111417922777,4903111913380236,jie jie yin wei yu jian ni ci wa wa hen xing fu,2023-05-19 14:07:18,10,来自辽宁,凝萌爱萌,3991579558,f,822,656
1,4903111417922777,4903113163280046,hao xi huan jiejie xia ci duo fa dian he zhao ai kan,2023-05-19 14:12:16,7,来自湖南,你说演砸了这不可能,5909866350,f,298,2069
1,4903111417922777,4903116158272259,姐姐们超美 我捡🥰,2023-05-19 14:24:09,10,来自福建,然后_昱头吃吗,5416090968,f,453,200
1,4903111417922777,4903112907686010,姐姐 我现在最大的希望就是妳能进入决赛只要你进入 我们一定会努力应援的@秋瓷炫,2023-05-19 14:11:14,8,来自中国台湾,Maureen允,7786035019,f,145,10
1,4903111417922777,4903112252589540,哈哈哈哈哈哈哈哈哈哈哈哈@秋瓷炫,2023-05-19 14:08:38,5,来自重庆,魏樂小乖,2814754562,f,218,1817
1,4903111417922777,4903149599461909,下次要不一起试试挑战方言?[擠眼][擠眼],2023-05-19 16:37:03,429,来自上海,李彩华rainli李彩桦,1522622622,f,367,3580000
1,4903111417922777,4903113817325715,你是去交朋友的吧 有没有每个说一遍： 我对你一辈子好,2023-05-19 14:14:51,434,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903112392052545,@秋瓷炫 宝贝儿，友谊地久天长，万古长青！,2023-05-19 14:09:12,135,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903112525482353,"qiuqiu ni de chu wu tai he yi gong biao yan yi jing fei chang hao le,wo men hui yi zhi ai ni de.o",2023-05-19 14:09:44,100,来自河北,蒎萘蒲藕,6104708425,m,285,100
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903122096357510,#秋瓷炫乘风2023# 姐姐在节目组交到了好多新朋友吖～愿姐姐们友谊长存、一起乘风而上吧@秋瓷炫,2023-05-19 14:47:45,11,来自广东,秋瓷炫官方后_援_会,2023760740,f,55,70000
1,4903111417922777,4903111913380236,jie jie yin wei yu jian ni ci wa wa hen xing fu,2023-05-19 14:07:18,10,来自辽宁,凝萌爱萌,3991579558,f,822,656
1,4903111417922777,4903113163280046,hao xi huan jiejie xia ci duo fa dian he zhao ai kan,2023-05-19 14:12:16,7,来自湖南,你说演砸了这不可能,5909866350,f,298,2069
1,4903111417922777,4903116158272259,姐姐们超美 我捡🥰,2023-05-19 14:24:09,10,来自福建,然后_昱头吃吗,5416090968,f,453,200
1,4903111417922777,4903112907686010,姐姐 我现在最大的希望就是妳能进入决赛只要你进入 我们一定会努力应援的@秋瓷炫,2023-05-19 14:11:14,8,来自中国台湾,Maureen允,7786035019,f,145,10
1,4903111417922777,4903112252589540,哈哈哈哈哈哈哈哈哈哈哈哈@秋瓷炫,2023-05-19 14:08:38,5,来自重庆,魏樂小乖,2814754562,f,218,1817
1,4903111417922777,4903113092499089,喜欢努力的乖乖姐姐加油,2023-05-19 14:11:59,3,来自北京,著名冲浪低手,5141154487,f,357,2289
1,4903111417922777,4903149599461909,下次要不一起试试挑战方言?[擠眼][擠眼],2023-05-19 16:37:03,429,来自上海,李彩华rainli李彩桦,1522622622,f,367,3580000
1,4903111417922777,4903113817325715,你是去交朋友的吧 有没有每个说一遍： 我对你一辈子好,2023-05-19 14:14:51,434,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903112392052545,@秋瓷炫 宝贝儿，友谊地久天长，万古长青！,2023-05-19 14:09:12,135,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903112525482353,"qiuqiu ni de chu wu tai he yi gong biao yan yi jing fei chang hao le,wo men hui yi zhi ai ni de.o",2023-05-19 14:09:44,100,来自河北,蒎萘蒲藕,6104708425,m,285,100
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903122096357510,#秋瓷炫乘风2023# 姐姐在节目组交到了好多新朋友吖～愿姐姐们友谊长存、一起乘风而上吧@秋瓷炫,2023-05-19 14:47:45,11,来自广东,秋瓷炫官方后_援_会,2023760740,f,55,70000
1,4903111417922777,4903111913380236,jie jie yin wei yu jian ni ci wa wa hen xing fu,2023-05-19 14:07:18,10,来自辽宁,凝萌爱萌,3991579558,f,822,656
1,4903111417922777,4903113163280046,hao xi huan jiejie xia ci duo fa dian he zhao ai kan,2023-05-19 14:12:16,7,来自湖南,你说演砸了这不可能,5909866350,f,298,2069
1,4903111417922777,4903116158272259,姐姐们超美 我捡🥰,2023-05-19 14:24:09,10,来自福建,然后_昱头吃吗,5416090968,f,453,200
1,4903111417922777,4903112907686010,姐姐 我现在最大的希望就是妳能进入决赛只要你进入 我们一定会努力应援的@秋瓷炫,2023-05-19 14:11:14,8,来自中国台湾,Maureen允,7786035019,f,145,10
1,4903111417922777,4903112252589540,哈哈哈哈哈哈哈哈哈哈哈哈@秋瓷炫,2023-05-19 14:08:38,5,来自重庆,魏樂小乖,2814754562,f,218,1817
1,4903111417922777,4903113092499089,喜欢努力的乖乖姐姐加油,2023-05-19 14:11:59,3,来自北京,著名冲浪低手,5141154487,f,357,2289
1,4903111417922777,4903114530621447,姐姐是会带话题的,2023-05-19 14:17:42,2,来自山东,昼是太阳的暖Y夜是月亮的蓝,3732012862,f,1849,1405
1,4903111417922777,4903149599461909,下次要不一起试试挑战方言?[擠眼][擠眼],2023-05-19 16:37:03,429,来自上海,李彩华rainli李彩桦,1522622622,f,367,3580000
1,4903111417922777,4903113817325715,你是去交朋友的吧 有没有每个说一遍： 我对你一辈子好,2023-05-19 14:14:51,434,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903112392052545,@秋瓷炫 宝贝儿，友谊地久天长，万古长青！,2023-05-19 14:09:12,135,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903112525482353,"qiuqiu ni de chu wu tai he yi gong biao yan yi jing fei chang hao le,wo men hui yi zhi ai ni de.o",2023-05-19 14:09:44,100,来自河北,蒎萘蒲藕,6104708425,m,285,100
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903122096357510,#秋瓷炫乘风2023# 姐姐在节目组交到了好多新朋友吖～愿姐姐们友谊长存、一起乘风而上吧@秋瓷炫,2023-05-19 14:47:45,11,来自广东,秋瓷炫官方后_援_会,2023760740,f,55,70000
1,4903111417922777,4903111913380236,jie jie yin wei yu jian ni ci wa wa hen xing fu,2023-05-19 14:07:18,10,来自辽宁,凝萌爱萌,3991579558,f,822,656
1,4903111417922777,4903113163280046,hao xi huan jiejie xia ci duo fa dian he zhao ai kan,2023-05-19 14:12:16,7,来自湖南,你说演砸了这不可能,5909866350,f,298,2069
1,4903111417922777,4903116158272259,姐姐们超美 我捡🥰,2023-05-19 14:24:09,10,来自福建,然后_昱头吃吗,5416090968,f,453,200
1,4903111417922777,4903112907686010,姐姐 我现在最大的希望就是妳能进入决赛只要你进入 我们一定会努力应援的@秋瓷炫,2023-05-19 14:11:14,8,来自中国台湾,Maureen允,7786035019,f,145,10
1,4903111417922777,4903112252589540,哈哈哈哈哈哈哈哈哈哈哈哈@秋瓷炫,2023-05-19 14:08:38,5,来自重庆,魏樂小乖,2814754562,f,218,1817
1,4903111417922777,4903113092499089,喜欢努力的乖乖姐姐加油,2023-05-19 14:11:59,3,来自北京,著名冲浪低手,5141154487,f,357,2289
1,4903111417922777,4903114530621447,姐姐是会带话题的,2023-05-19 14:17:42,2,来自山东,昼是太阳的暖Y夜是月亮的蓝,3732012862,f,1849,1405
1,4903111417922777,4903111577830960,姐姐好美,2023-05-19 14:05:58,1,来自湖南,看无数次晚霞_,5789964832,f,604,10000
1,4903111417922777,4903149599461909,下次要不一起试试挑战方言?[擠眼][擠眼],2023-05-19 16:37:03,429,来自上海,李彩华rainli李彩桦,1522622622,f,367,3580000
1,4903111417922777,4903113817325715,你是去交朋友的吧 有没有每个说一遍： 我对你一辈子好,2023-05-19 14:14:51,434,来自广东,情绪小哭包-,3944174222,f,70,10000
1,4903111417922777,4903112392052545,@秋瓷炫 宝贝儿，友谊地久天长，万古长青！,2023-05-19 14:09:12,135,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903112525482353,"qiuqiu ni de chu wu tai he yi gong biao yan yi jing fei chang hao le,wo men hui yi zhi ai ni de.o",2023-05-19 14:09:44,100,来自河北,蒎萘蒲藕,6104708425,m,285,100
1,4903111417922777,4903111564723144,@秋瓷炫 宝贝儿肆意乘风，卓然而立，瓷炫勇敢飞，娃娃永相随！,2023-05-19 14:05:54,46,来自广东,秋瓷炫百度贴吧,5445363980,f,88,10000
1,4903111417922777,4903114312518600,招牌动作：行走的剪刀手✌🏻️,2023-05-19 14:16:50,29,来自广东,情绪小哭包-,3944174222,f,70,10000
